pair,eg_pvalue,adf_pvalue,hurst,kalman_pvalue,dynols_pvalue,composite_score,half_life,liquidity_score,final_score
INJUSDT-ORDIUSDT,0.00744788437056368,0.0014585055584557997,4.578719106408002e-15,1.1528824652212537e-22,0.002147998186725447,0.002763597028936232,19.330719148962757,19.157278249999997,4.346145910740405
RADUSDT-TWTUSDT,0.0007992935593351939,1.6356862424960474e-07,4.578719106408002e-15,2.5091509661327604e-29,4.558923197448356e-06,0.00020100401278922298,4.947693962995125,1.0242005,0.765414106868522
HIGHUSDT-MNTUSDT,0.0003376782459333381,0.0016788413451121718,4.578719106408002e-15,2.058363402918759e-30,0.0002812444485222606,0.0005744410098919426,10.241715433714745,1.161210225,0.7613616806238525
DYDXUSDT-RADUSDT,0.00013807020143280377,4.2032248614903864e-07,4.578719106408002e-15,1.2760232418320362e-11,1.6645429586620034e-05,3.8783991566451314e-05,8.122955288344127,1.04946,0.7468127360086687
FDUSDUSDT-RADUSDT,0.005972294513993604,0.006494116975637932,4.578719106408002e-15,0.0001573865211637916,0.016974119180778877,0.0073994792978935514,10.148783126581588,1.0143405,0.7302084503992567
RADUSDT-USDEUSDT,0.011894012040333685,0.006963879378759238,4.578719106408002e-15,8.084487597605326e-18,0.022302023355297327,0.010289978693597563,10.061327606016304,1.0149255,0.7297152450188948
RADUSDT-USDCUSDT,0.013914706071748467,0.006909954344997546,4.578719106408002e-15,8.787009120650749e-18,0.022909091239337938,0.010933437914020992,10.016394071636244,1.01497925,0.729666716908591
RADUSDT-SUPERUSDT,0.0004293576527322139,8.314852726793188e-08,4.578719106408002e-15,8.835819475859483e-21,0.0012042170012576156,0.00040841445062927436,13.02514745989278,0.98742325,0.7203944944670648
APEUSDT-RADUSDT,0.006014496273932369,2.188044195276591e-05,4.578719106408002e-15,6.069626567489176e-10,0.00044787049954519943,0.0016210619555982477,13.109955306075223,0.989571,0.720311254620624
ALICEUSDT-RADUSDT,4.261074044858681e-05,5.617472104154109e-07,4.578719106408002e-15,5.2662211148599144e-11,1.6345954618102315e-07,1.0833999966848597e-05,13.123510094293733,0.9870325,0.7202629876174428
TWTUSDT-USDCUSDT,0.005849320712043526,0.0020254178684458958,4.578719106408002e-15,2.5778349684133544e-30,0.045581612729308316,0.013364087827449434,14.626681951187038,1.00924975,0.7183511853546423
TWTUSDT-USDEUSDT,0.00707635277110423,0.0021114867033629895,4.578719106408002e-15,2.504867633773139e-30,0.044148382062037465,0.013334055384126171,14.77018372717739,1.009196,0.7181501728419374
FDUSDUSDT-TWTUSDT,0.011643981048548148,0.0019700190093351905,4.578719106408002e-15,0.0,0.04040278703317447,0.013504196772764453,15.400661753860366,1.0086110000000001,0.7171506233866737
ADAUSDT-RADUSDT,3.5674081784383144e-05,8.376861920776568e-06,4.578719106408002e-15,9.931633280012401e-12,1.2919301880015353e-07,1.1045036663898287e-05,15.049730387543557,0.98579625,0.7170898484113228
CTCUSDT-USDEUSDT,0.0006775822714365266,0.00017616570535568967,4.578719106408002e-15,5.330433009153995e-30,0.012154646953483485,0.0032520987325689254,17.020550316627368,0.9791439749999999,0.7124789174516483
DRIFTUSDT-RADUSDT,0.00026341787072419126,3.7709572602475347e-13,4.578719106408002e-15,0.015586913192944,0.00019668289993441093,0.004011753490994925,17.119945325641837,0.9763059999999999,0.7115810944014018
BNTUSDT-SCRUSDT,0.0046094782064599795,0.0003579140514743249,4.578719106408002e-15,4.2191041983640946e-08,0.0002223942863133919,0.00129745718382242,17.693879404478807,0.659809675,0.6485277133698288
CTKUSDT-PUFFERUSDT,0.0053076812376660525,0.04970074707706269,4.578719106408002e-15,3.641705441801383e-09,0.0016131219821966655,0.014155388484657715,18.604517449709082,0.5591192500000001,0.6237023493470697
AUDIOUSDT-CROUSDT,0.008314972071674752,0.001255148846790855,4.578719106408002e-15,3.421255811656797e-07,0.0003675316679156174,0.0024844986779905976,6.647666588600202,0.130016925,0.570386652483755
BLUEUSDT-GOATUSDT,0.03128110466631632,0.009731212484582294,4.578719106408002e-15,0.006402212174433401,0.007241402866775147,0.01366398304802679,10.457988306356226,0.20079454999999996,0.5647459204256433
ATAUSDT-DODOUSDT,0.048242206366362436,0.014716345612110068,4.578719106408002e-15,0.2771090829896009,0.0086478763132753,0.08717887782033718,7.539671777031488,0.102075525,0.5340509721363662
LAIUSDT-RIFSOLUSDT,0.0053919928983939755,0.0009283802830887237,4.578719106408002e-15,0.2604370518816044,0.000716525084715368,0.06686848753695061,7.161360103676235,0.00800875,0.5234326874315155
1000000BABYDOGEUSDT-HOTUSDT,0.0357575119188121,0.01276519730319213,4.578719106408002e-15,0.07413785604282927,0.00070599198930714,0.03084163931353516,11.224225066527092,0.00204886875,0.5178851850603284
1000000PEIPEIUSDT-SUNDOGUSDT,0.010640464324059469,0.01554111705526098,4.578719106408002e-15,0.9027359894233652,0.0006165672574465867,0.23238353451503307,17.116731822998734,0.0520443,0.4582205099487322
GIGAUSDT-SOLVUSDT,0.04832711740382099,0.016645931937878836,4.578719106408002e-15,0.9302510703920983,0.0016192024909634658,0.2492108305561904,15.467030924772667,0.057481175,0.45612908075653846
1000XECUSDT-LOOKSUSDT,0.04093434103133508,0.040998832341046294,4.578719106408002e-15,0.9937296576246653,0.003673826890514581,0.2698341644718903,19.380890211895796,0.032208475,0.44097061079068495
